SCHOOL_ID,EXAMEN_JAAR,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,AANTAL_LEERLINGEN_EXAMEN,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
000AP,2015,De Schanskorf,2715BT,ZOETERMEER,637,Zoetermeer,Zuid-Holland,Bo,Gereformeerd vrijgemaakt,41646,11.0,CET,11,534.3
000AR,2015,"BS ""De Maasparel""",6109AM,OHE EN LAAK,1641,Maasgouw,Limburg,Bo,Rooms-Katholiek,41797,18.0,CET,18,539.8
000AZ,2015,De Kiezel en de Kei,2971AR,BLESKENSGRAAF CA,1927,Molenwaard,Zuid-Holland,Bo,Openbaar,41638,24.0,CET,22,532.9
000BA,2015,OBS De Klimboom,6666EB,HETEREN,1734,Overbetuwe,Gelderland,Bo,Openbaar,41530,11.0,CET,11,536.2
000BB,2015,Obs Letterwies,9944AR,NIEUWOLDA,1895,Oldambt,Groningen,Bo,Openbaar,41613,16.0,CET,16,531.3
000BS,2015,Geref Basisschool,7711KP,NIEUWLEUSEN,148,Dalfsen,Overijssel,Bo,Gereformeerd vrijgemaakt,41168,15.0,CET,15,536.3
000BW,2015,Jenaplanschool De Vlieger,6131KJ,SITTARD,1883,Sittard-Geleen,Limburg,Bo,Algemeen bijzonder,41516,11.0,CET,11,533.4
000CD,2015,Lockaert,5345JG,OSS,828,Oss,Noord-Brabant,Bo,Algemeen bijzonder,80628,25.0,CET,25,535.3
000CG,2015,De Harlekijn,6372AC,LANDGRAAF,882,Landgraaf,Limburg,Bo,Openbaar,41516,42.0,CET,40,536.7
000CS,2015,De Leilinde,9671JA,WINSCHOTEN,1895,Oldambt,Groningen,Bo,Gereformeerd vrijgemaakt,41025,5.0,CET,5,538.0
000CU,2015,Basisschool Zilverlinde,4707HS,ROOSENDAAL,1674,Roosendaal,Noord-Brabant,Bo,Antroposofisch,41246,10.0,DREMPEL,10,111.5
000CV,2015,School Matthijsje,8388NA,OOSTERSTREEK,98,Weststellingwerf,Friesland,Bo,Algemeen bijzonder,20210,5.0,DREMPEL,5,115.0
000DA,2015,Chr BS Betrouwen,9243SJ,BAKKEVEEN,86,Opsterland,Friesland,Bo,Protestants-Christelijk,30051,7.0,DREMPEL,7,107.7
000DD,2015,Basissch Het Startnest,1422LE,UITHOORN,451,Uithoorn,Noord-Holland,Bo,Rooms-Katholiek,30090,45.0,ROUTE8,45,207.1
000DM,2015,De Bolderik,5473PG,HEESWIJK-DINTHER,1721,Bernheze,Noord-Brabant,Bo,Openbaar,13674,26.0,CET,26,532.5
000DN,2015,De Bundeling,6241BB,BUNDE,938,Meerssen,Limburg,Bo,Openbaar,42669,13.0,CET,13,531.9
000DO,2015,Van Rijckevorsel,3151CJ,HOEK VAN HOLLAND,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,22.0,CET,22,534.0
000DW,2015,De Trompetter,6986AT,ANGERLO,299,Zevenaar,Gelderland,Bo,Rooms-Katholiek,61284,26.0,CET,26,533.1
000DX,2015,Vrije School Assen,9404KK,ASSEN,106,Assen,Drenthe,Bo,Antroposofisch,77456,22.0,DREMPEL,22,105.6
000DY,2015,Basisschool De Wegwijzer,8084GK,'T HARDE,230,Elburg,Gelderland,Bo,Gereformeerd vrijgemaakt,41632,14.0,CET,12,535.6
000DZ,2015,Agnieten-School,8081NB,ELBURG,230,Elburg,Gelderland,Bo,Rooms-Katholiek,40950,8.0,CET,8,534.4
000EB,2015,Bs Het Telraam,5441AK,OEFFELT,756,Boxmeer,Noord-Brabant,Bo,Rooms-Katholiek,48348,26.0,CET,26,533.0
000EI,2015,Reform Basisschool,3286BC,KLAASWAAL,611,Cromstrijen,Zuid-Holland,Bo,Reformatorisch,30133,14.0,CET,14,527.6
000FE,2015,Geref Basissch De Halm,4286BV,ALMKERK,874,Woudrichem,Noord-Brabant,Bo,Gereformeerd vrijgemaakt,41646,12.0,CET,12,532.1
000FG,2015,BS De Triangel,7557KJ,HENGELO OV,164,Hengelo,Overijssel,Bo,Gereformeerd vrijgemaakt,41624,14.0,CET,14,533.2
000FI,2015,Samenw Basisschool Pork,9561CB,TER APEL,48,Vlagtwedde,Groningen,Bo,Algemeen bijzonder,45000,24.0,CET,24,537.5
000FQ,2015,Montessori BS De Kraal,4691HT,THOLEN,716,Tholen,Zeeland,Bo,Algemeen bijzonder,30124,12.0,CET,12,533.2
